ID;Crossing;Programme;Group;Duration;Start_green;End_green;Crossing_programme;Day_of_week;End_hour;End_minute;Start_hour;Start_minute
431;107;2;K4;75;44;67;1072;1;17;0;13;30
432;107;2;K4;75;44;67;1072;2;13;30;9;0
433;107;2;K4;75;44;67;1072;2;17;0;13;30
434;107;2;K4;75;44;67;1072;3;13;30;9;0
435;107;2;K4;75;44;67;1072;3;17;0;13;30
436;107;2;K4;75;44;67;1072;4;13;30;9;0
437;107;2;K4;75;44;67;1072;4;17;0;13;30
438;107;2;K4;75;44;67;1072;5;13;30;9;0
439;107;2;K4;75;44;67;1072;5;17;0;13;30
440;107;2;K4;75;44;67;1072;6;19;0;6;0
441;107;2;K4;75;44;67;1072;7;19;0;6;0
442;107;2;K5;75;10;37;1072;1;13;30;9;0
443;107;2;K5;75;10;37;1072;1;17;0;13;30
444;107;2;K5;75;10;37;1072;2;13;30;9;0
445;107;2;K5;75;10;37;1072;2;17;0;13;30
446;107;2;K5;75;10;37;1072;3;13;30;9;0
447;107;2;K5;75;10;37;1072;3;17;0;13;30
448;107;2;K5;75;10;37;1072;4;13;30;9;0
449;107;2;K5;75;10;37;1072;4;17;0;13;30
450;107;2;K5;75;10;37;1072;5;13;30;9;0
451;107;2;K5;75;10;37;1072;5;17;0;13;30
452;107;2;K5;75;10;37;1072;6;19;0;6;0
453;107;2;K5;75;10;37;1072;7;19;0;6;0
454;107;2;K6;75;28;39;1072;1;13;30;9;0
455;107;2;K6;75;28;39;1072;1;17;0;13;30
456;107;2;K6;75;28;39;1072;2;13;30;9;0
457;107;2;K6;75;28;39;1072;2;17;0;13;30
458;107;2;K6;75;28;39;1072;3;13;30;9;0
459;107;2;K6;75;28;39;1072;3;17;0;13;30
460;107;2;K6;75;28;39;1072;4;13;30;9;0
461;107;2;K6;75;28;39;1072;4;17;0;13;30
462;107;2;K6;75;28;39;1072;5;13;30;9;0
463;107;2;K6;75;28;39;1072;5;17;0;13;30
464;107;2;K6;75;28;39;1072;6;19;0;6;0
465;107;2;K6;75;28;39;1072;7;19;0;6;0
466;107;2;K7;75;44;67;1072;1;13;30;9;0
467;107;2;K7;75;44;67;1072;1;17;0;13;30
468;107;2;K7;75;44;67;1072;2;13;30;9;0
469;107;2;K7;75;44;67;1072;2;17;0;13;30
470;107;2;K7;75;44;67;1072;3;13;30;9;0
471;107;2;K7;75;44;67;1072;3;17;0;13;30
472;107;2;K7;75;44;67;1072;4;13;30;9;0
473;107;2;K7;75;44;67;1072;4;17;0;13;30
474;107;2;K7;75;44;67;1072;5;13;30;9;0
475;107;2;K7;75;44;67;1072;5;17;0;13;30
476;107;2;K7;75;44;67;1072;6;19;0;6;0
477;107;2;K7;75;44;67;1072;7;19;0;6;0
478;107;2;K8;75;31;36;1072;1;13;30;9;0
479;107;2;K8;75;31;36;1072;1;17;0;13;30
480;107;2;K8;75;31;36;1072;2;13;30;9;0
481;107;2;K8;75;31;36;1072;2;17;0;13;30
482;107;2;K8;75;31;36;1072;3;13;30;9;0
483;107;2;K8;75;31;36;1072;3;17;0;13;30
484;107;2;K8;75;31;36;1072;4;13;30;9;0
485;107;2;K8;75;31;36;1072;4;17;0;13;30
486;107;2;K8;75;31;36;1072;5;13;30;9;0
487;107;2;K8;75;31;36;1072;5;17;0;13;30
488;107;2;K8;75;31;36;1072;6;19;0;6;0
